STT,Aircraft,Aircraft_type,Flight,Aircraft_registration,Flight_route,Flight_type,Flight_purpose,Departure_airport,Arrival_airport,Flight_level,Take_off_time,Take_off_date
506,A333,H,BCS574,DALMG,B124/W21,LD,PAX,OBBI,VVNB,410,13:25:00,10/30/2025
507,B789,H,HVN385,VNA898,R474,LD,PAX,RJTT,VVNB,400,14:52:00,10/30/2025
508,A320,M,VAG658,VNA136,W1,ND,PAX,VVDN,VVNB,290,19:13:00,10/30/2025
509,A320,M,VJC432,VNA684,W1/W2/W24,ND,PAX,VVPC,VVNB,310,17:35:00,10/30/2025
510,A321,M,HVN930,VNA338,B465,LD,PAX,VLLB,VVNB,270,19:25:00,10/30/2025
511,A320,M,VJC410,VNA675,W7/W1 ,ND,PAX,VVDL,VVNB,310,18:48:00,10/30/2025
512,A321,M,VJC935,VNA545,R474,LD,PAX,RJAA,VVNB,340,14:50:00,10/30/2025
513,A320,M,HVN188,VNA515,W1,ND,PAX,VVDN,VVNB,290,19:23:00,10/30/2025
514,A321,M,VJC904,VNA6151,R474,LD,PAX,VTBS,VVNB,330,18:52:00,10/30/2025
515,A321,M,VJC1440,VNA538,N639/Q2,ND,PAX,VVPQ,VVNB,350,18:52:00,10/30/2025
516,A21N,M,AIQ644,HSABM,R474,LD,PAX,VTBD,VVNB,350,19:11:00,10/30/2025
517,A321,M,HVN218,VNA616,Q2/W2,ND,PAX,VVTS,VVNB,350,19:01:00,10/30/2025
518,A359,H,HVN415,VNA879,R474,LD,PAX,RKSI,VVNB,380,16:44:00,10/30/2025
519,A321,M,VJC914,VNA583,N639,LD,PAX,VDSA,VVNB,310,19:33:00,10/30/2025
520,A321,M,VJC998,VNA542,W2/W1,LD,PAX,WADD,VVNB,350,16:27:00,10/30/2025
521,B789,H,KAL447,HL7207,R474,LD,PAX,RKSI,VVNB,360,17:06:00,10/30/2025
522,A321,M,HVN1562,VNA611,W2/W1,ND,PAX,VVCR,VVNB,350,19:50:00,10/30/2025
523,A321,M,HVN920,VNA393,R474,LD,PAX,VLVT,VVNB,290,20:35:00,10/30/2025
524,A321,M,HVN1206,VNA505,W1,ND,PAX,VVCT,VVNB,350,19:41:00,10/30/2025
525,B763,H,FDX6002,N122FE,R474,LD,CAR,VTBS,VVNB,330,20:13:00,10/30/2025
526,A320,M,AMU982,BMCL,R474,LD,PAX,VMMC,VVNB,300,20:16:00,10/30/2025
527,A321,M,PIC6070,VNA363,W1,ND,PAX,VVDN,VVNB,310,20:44:00,10/30/2025
528,B748,H,UPS72,N628UP,R474,LD,PAX,PANC,VVNB,400,09:43:00,10/30/2025
529,A321,M,HVN842,VNA358,N639,LD,PAX,VDSA,VVNB,310,20:28:00,10/30/2025
530,B738,M,BAV268,PKBBK,Q2/W1,ND,PAX,VVTS,VVNB,350,20:08:00,10/30/2025
531,A321,M,HVN618,VNA602,R474,LD,PAX,VTBS,VVNB,330,20:31:00,10/30/2025
532,A321,M,CSC3905,B6718,R471/R474,LD,PAX,ZUTF,VVNB,320,20:06:00,10/30/2025
533,A321,M,HVN220,VNA625,Q2/W1,ND,PAX,VVTS,VVNB,350,20:19:00,10/30/2025
534,A321,M,VJC190,VNA522,Q2/W1,ND,PAX,VVTS,VVNB,310,20:21:00,10/30/2025
535,A321,M,VJC160,VNA689,Q2/W1,ND,PAX,VVTS,VVNB,350,20:23:00,10/30/2025
536,B763,H,JAL751,JAL616J,R474,LD,PAX,RJAA,VVNB,360,16:35:00,10/30/2025
537,A359,H,AAR733,HL8360,R474,LD,PAX,RKSI,VVNB,380,18:09:00,10/30/2025
538,A321,M,VJC464,VNA673,W1,ND,PAX,VVCT,VVNB,310,20:35:00,10/30/2025
539,B789,H,ANA897,JA876A,R474,LD,PAX,RJAA,VVNB,400,16:57:00,10/30/2025
540,A321,M,HVN680,VNA329,N639/W1,LD,PAX,WMKK,VVNB,310,19:39:00,10/30/2025
541,B737,M,LHA4201,B220N,R474,LD,PAX,ZGNN,VVNB,300,21:54:00,10/30/2025
542,A321,M,VJC518,VNA658,W1,ND,PAX,VVDN,VVNB,290,21:33:00,10/30/2025
543,A321,M,HVN256,VNA336,Q2/W1,ND,PAX,VVTS,VVNB,350,20:50:00,10/30/2025
544,A359,H,HVN262,VNA896,Q2/W1,ND,PAX,VVTS,VVNB,390,20:56:00,10/30/2025
545,A321,M,VJC568,VNA629,W10/W1/A206/W24/W1,ND,PAX,VVPB,VVNB,270,21:40:00,10/30/2025
546,A332,H,HKC317,BLNX,R474,LD,CAR,VHHH,VVNB,360,21:09:00,10/30/2025
547,A359,H,HVN258,VNA861,Q2/W1,ND,PAX,VVTS,VVNB,390,21:03:00,10/30/2025
548,A330,H,VJC156,VNA820,Q2/W1,ND,PAX,VVTS,VVNB,410,21:13:00,10/30/2025
549,A20N,M,CSN317,B30EW,R474,LD,PAX,ZGGG,VVNB,340,21:24:00,10/30/2025
550,A321,M,VJC520,VNA644,W1,ND,PAX,VVDN,VVNB,290,22:05:00,10/30/2025
551,A321,M,HVN260,VNA325,Q2/W1,ND,PAX,VVTS,VVNB,350,21:20:00,10/30/2025
552,A321,M,HVN1548,VNA513,W1,ND,PAX,VVPB,VVNB,310,22:17:00,10/30/2025
553,B763,H,ANA8447,JA605F,R474,LD,PAX,RJAA,VVNB,400,17:33:00,10/30/2025
554,B772,H,UAE9869,A6EFW,R474,LD,PAX,RCTP,VVNB,320,20:51:00,10/30/2025
555,A321,M,VJC7337,VNA549,R474,LD,PAX,ZUGY,VVNB,320,21:59:00,10/30/2025
556,A321,M,VJC174,VNA667,Q2/W1,ND,PAX,VVTS,VVNB,350,22:00:00,10/30/2025
557,B77L,H,FDX9797,N865FD,R474,LD,PAX,PANC,VVNB,380,10:44:00,10/30/2025
558,A321,M,HVN7210,VNA332,Q2/W1,ND,PAX,VVTS,VVNB,350,22:05:00,10/30/2025
559,A321,M,VAG794,VNA129,Q2/W1,ND,PAX,VVTS,VVNB,350,22:16:00,10/30/2025
